count,country,iso3c,ccode,year
11,Iceland,ISL,395,1982
1811,Israel,ISR,666,1982
323,Italy,ITA,325,1982
14,Jamaica,JAM,51,1982
254,Jordan,JOR,663,1982
641,Japan,JPN,740,1982
41,Kenya,KEN,501,1982
56,Cambodia,KHM,811,1982
113,South Korea,KOR,732,1982
23,Kuwait,KWT,690,1982
18,Laos,LAO,812,1982
1284,Lebanon,LBN,660,1982
1,Liberia,LBR,450,1982
120,Libya,LBY,620,1982
1,St. Lucia,LCA,56,1982
17,Sri Lanka,LKA,780,1982
13,Lesotho,LSO,570,1982
8,Luxembourg,LUX,212,1982
43,Morocco,MAR,600,1982
NA,Maldives,MDV,781,1982
351,Mexico,MEX,70,1982
1,Mali,MLI,432,1982
3,Malta,MLT,338,1982
3,Burma,MMR,775,1982
14,Mozambique,MOZ,541,1982
1,Mauritania,MRT,435,1982
7,Mauritius,MUS,590,1982
24,Malaysia,MYS,820,1982
33,Nigeria,NGA,475,1982
244,Nicaragua,NIC,93,1982
57,Netherlands,NLD,210,1982
22,Norway,NOR,385,1982
7,Nepal,NPL,790,1982
16,New Zealand,NZL,920,1982
9,Oman,OMN,698,1982
65,Pakistan,PAK,770,1982
23,Panama,PAN,95,1982
42,Peru,PER,135,1982
125,Philippines,PHL,840,1982
16,Papua New Guinea,PNG,910,1982
734,Poland,POL,290,1982
22,Portugal,PRT,235,1982
6,Paraguay,PRY,150,1982
1,Palestine,PSE,NA,1982
1,Qatar,QAT,694,1982
NA,Russia,RUS,365,1982
1,Rwanda,RWA,517,1982
126,Saudi Arabia,SAU,670,1982
18,Sudan,SDN,625,1982
8,Senegal,SEN,433,1982
24,Singapore,SGP,830,1982
3,Sierra Leone,SLE,451,1982
27,Somalia,SOM,520,1982
11,Suriname,SUR,115,1982
61,Sweden,SWE,380,1982
8,Swaziland,SWZ,572,1982
17,Seychelles,SYC,591,1982
268,Syria,SYR,652,1982
29,Chad,TCD,483,1982
1,Togo,TGO,461,1982
46,Thailand,THA,800,1982
9,Tunisia,TUN,616,1982
163,Turkey,TUR,640,1982
12,Tanzania,TZA,510,1982
18,Uganda,UGA,500,1982
7,Uruguay,URY,165,1982
5933,United States,USA,2,1982
46,Venezuela,VEN,101,1982
117,Vietnam,VNM,816,1982
1,Vanuatu,VUT,935,1982
2,Samoa,WSM,990,1982
13,"Yemen, People's",YMD,680,1982
36,Yugoslavia,YUG,345,1982
316,South Africa,ZAF,560,1982
9,Zambia,ZMB,551,1982
1,Zimbabwe,ZWE,552,1982
99,Afghanistan,AFG,700,1983
38,Angola,AGO,540,1983
6,Albania,ALB,339,1983
165,Argentina,ARG,160,1983
64,Australia,AUS,900,1983
35,Austria,AUT,305,1983
1,Burundi,BDI,516,1983
35,Belgium,BEL,211,1983
1,Benin,BEN,434,1983
17,Bangladesh,BGD,771,1983
37,Bulgaria,BGR,355,1983
7,Bahrain,BHR,692,1983
NA,Belarus,BLR,370,1983
6,Belize,BLZ,80,1983
19,Bolivia,BOL,145,1983
145,Brazil,BRA,140,1983
12,Barbados,BRB,53,1983
1,Bhutan,BTN,760,1983
7,Botswana,BWA,571,1983
2,Central African Republic,CAF,482,1983
281,Canada,CAN,20,1983
92,Chile,CHL,155,1983
111,China,CHN,710,1983
5,Ivory Coast,CIV,437,1983
1,Cameroon,CMR,471,1983
14,"['congo-kinshasa', 'zaire', 'congo, democratic republic']",COD,490,1983
52,Colombia,COL,100,1983
1,Cape Verde,CPV,402,1983
53,Costa Rica,CRI,94,1983
21,Czechoslovakia,CSK,315,1983
203,Cuba,CUB,40,1983
41,Cyprus,CYP,352,1983
50,East Germany,DDR,265,1983
396,West Germany,DEU,260,1983
5,Dominica,DMA,54,1983
25,Denmark,DNK,390,1983
6,Dominican Republic,DOM,42,1983
15,Algeria,DZA,615,1983
12,Ecuador,ECU,130,1983
108,Egypt,EGY,651,1983
1,Eritrea,ERI,531,1983
135,Spain,ESP,230,1983
20,Ethiopia,ETH,530,1983
19,Finland,FIN,375,1983
545,France,FRA,220,1983
670,Great Britain,GBR,200,1983
18,Ghana,GHA,452,1983
9,Guinea,GIN,438,1983
1,Gambia,GMB,420,1983
NA,Equatorial Guinea,GNQ,411,1983
117,Greece,GRC,350,1983
305,Grenada,GRD,55,1983
84,Guatemala,GTM,90,1983
6,Guyana,GUY,110,1983
112,Honduras,HND,91,1983
34,Haiti,HTI,41,1983
15,Hungary,HUN,310,1983
40,Indonesia,IDN,850,1983
173,India,IND,750,1983
106,Ireland,IRL,205,1983
168,Iran,IRN,630,1983
86,Iraq,IRQ,645,1983
2,Iceland,ISL,395,1983
774,Israel,ISR,666,1983
251,Italy,ITA,325,1983
20,Jamaica,JAM,51,1983
170,Jordan,JOR,663,1983
595,Japan,JPN,740,1983
23,Kenya,KEN,501,1983
55,Cambodia,KHM,811,1983
325,South Korea,KOR,732,1983
29,Kuwait,KWT,690,1983
13,Laos,LAO,812,1983
940,Lebanon,LBN,660,1983
9,Liberia,LBR,450,1983
142,Libya,LBY,620,1983
5,St. Lucia,LCA,56,1983
3,Liechtenstein,LIE,223,1983
13,Sri Lanka,LKA,780,1983
9,Lesotho,LSO,570,1983
5,Luxembourg,LUX,212,1983
18,Morocco,MAR,600,1983
1,Maldives,MDV,781,1983
201,Mexico,MEX,70,1983
1,Mali,MLI,432,1983
12,Malta,MLT,338,1983
26,Burma,MMR,775,1983
16,Mozambique,MOZ,541,1983
1,Mauritania,MRT,435,1983
10,Malawi,MWI,553,1983
6,Malaysia,MYS,820,1983
2,Niger,NER,436,1983
60,Nigeria,NGA,475,1983
420,Nicaragua,NIC,93,1983
32,Netherlands,NLD,210,1983
25,Norway,NOR,385,1983
8,Nepal,NPL,790,1983
8,New Zealand,NZL,920,1983
5,Oman,OMN,698,1983
47,Pakistan,PAK,770,1983
38,Panama,PAN,95,1983
57,Peru,PER,135,1983
152,Philippines,PHL,840,1983
1,Papua New Guinea,PNG,910,1983
303,Poland,POL,290,1983
50,Portugal,PRT,235,1983
8,Paraguay,PRY,150,1983
1,Qatar,QAT,694,1983
NA,Russia,RUS,365,1983
3,Rwanda,RWA,517,1983
89,Saudi Arabia,SAU,670,1983
20,Sudan,SDN,625,1983
7,Senegal,SEN,433,1983
5,Singapore,SGP,830,1983
1,Sierra Leone,SLE,451,1983
5,Somalia,SOM,520,1983
23,Suriname,SUR,115,1983
48,Sweden,SWE,380,1983
5,Swaziland,SWZ,572,1983
1,Seychelles,SYC,591,1983
264,Syria,SYR,652,1983
74,Chad,TCD,483,1983
6,Togo,TGO,461,1983
51,Thailand,THA,800,1983
3,Trinidad and Tobago,TTO,52,1983
3,Tunisia,TUN,616,1983
128,Turkey,TUR,640,1983
7,Tanzania,TZA,510,1983
10,Uganda,UGA,500,1983
10,Uruguay,URY,165,1983
3035,United States,USA,2,1983
64,Venezuela,VEN,101,1983
106,Vietnam,VNM,816,1983
3,Vanuatu,VUT,935,1983
5,Samoa,WSM,990,1983
1,Yemen Arab Republic,YEM,678,1983
30,Yugoslavia,YUG,345,1983
269,South Africa,ZAF,560,1983
16,Zambia,ZMB,551,1983
23,Zimbabwe,ZWE,552,1983
65,Afghanistan,AFG,700,1984
48,Angola,AGO,540,1984
3,Albania,ALB,339,1984
7,United Arab Emirates,ARE,696,1984
142,Argentina,ARG,160,1984
61,Australia,AUS,900,1984
27,Austria,AUT,305,1984
2,Burundi,BDI,516,1984
35,Belgium,BEL,211,1984
2,Burkina Faso,BFA,439,1984
9,Bangladesh,BGD,771,1984
24,Bulgaria,BGR,355,1984
12,Bahrain,BHR,692,1984
NA,Belarus,BLR,370,1984
1,Belize,BLZ,80,1984
18,Bolivia,BOL,145,1984
114,Brazil,BRA,140,1984
5,Barbados,BRB,53,1984
5,Brunei,BRN,835,1984
3,Botswana,BWA,571,1984
1,Central African Republic,CAF,482,1984
306,Canada,CAN,20,1984
77,Chile,CHL,155,1984
372,China,CHN,710,1984
1,Ivory Coast,CIV,437,1984
7,Cameroon,CMR,471,1984
6,"['congo-kinshasa', 'zaire', 'congo, democratic republic']",COD,490,1984
1,Congo,COG,484,1984
66,Colombia,COL,100,1984
2,Cape Verde,CPV,402,1984
50,Costa Rica,CRI,94,1984
47,Czechoslovakia,CSK,315,1984
